key;rule;severity;component;project;line;status;message;effort;creationDate;updateDate;type
AX2QHYH6FhMNhOYSJ45R;csharpsquid:S4423;CRITICAL;pagos.api-transferencias-empresas:Infrastructure/api_transferencias_empresas.Infrastructure.WebService/ServiceRegistration.cs;pagos.api-transferencias-empresas;23;OPEN;Change this code to use a stronger protocol.;2min;2021-12-06T11:19:45-0300;2021-12-06T11:19:45-0300;VULNERABILITY
AX2QHYH6FhMNhOYSJ45S;csharpsquid:S4423;CRITICAL;pagos.api-transferencias-empresas:Infrastructure/api_transferencias_empresas.Infrastructure.WebService/ServiceRegistration.cs;pagos.api-transferencias-empresas;23;OPEN;Change this code to use a stronger protocol.;2min;2021-12-06T11:19:45-0300;2021-12-06T11:19:45-0300;VULNERABILITY
AX2QHYH6FhMNhOYSJ45T;csharpsquid:S4830;CRITICAL;pagos.api-transferencias-empresas:Infrastructure/api_transferencias_empresas.Infrastructure.WebService/ServiceRegistration.cs;pagos.api-transferencias-empresas;78;OPEN;Enable server certificate validation on this SSL/TLS connection;5min;2021-12-06T11:19:45-0300;2021-12-06T11:19:45-0300;VULNERABILITY
AX2BQ4WyFhMNhOYSEYDN;java:S2755;BLOCKER;beneficios-reward.api-beneficios-reward:src/main/java/com/supervielle/api/beneficiosreward/domain/usecase/BeneficiosRewardUseCase.java;beneficios-reward.api-beneficios-reward;108;OPEN;Disable access to external entities in XML parsing.;15min;2021-12-03T14:06:49-0300;2021-12-03T14:06:49-0300;VULNERABILITY
AX04mCAUFhMNhOYS_hY0;csharpsquid:S4423;CRITICAL;recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Cobros/ServiceRegistration.cs;recaudaciones.bff-obe-recaudaciones;22;OPEN;Change this code to use a stronger protocol.;2min;2021-11-19T11:26:58-0300;2021-11-19T13:05:01-0300;VULNERABILITY
AX04mCAUFhMNhOYS_hYz;csharpsquid:S4423;CRITICAL;recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Cobros/ServiceRegistration.cs;recaudaciones.bff-obe-recaudaciones;22;OPEN;Change this code to use a stronger protocol.;2min;2021-11-19T11:26:58-0300;2021-11-19T13:05:01-0300;VULNERABILITY
AX04mCAUFhMNhOYS_hY1;csharpsquid:S4830;CRITICAL;recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Cobros/ServiceRegistration.cs;recaudaciones.bff-obe-recaudaciones;37;OPEN;Enable server certificate validation on this SSL/TLS connection;5min;2021-11-19T11:26:58-0300;2021-11-19T13:05:01-0300;VULNERABILITY
AX04mB_6FhMNhOYS_hYw;csharpsquid:S4423;CRITICAL;recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Parametria/ServiceRegistration.cs;recaudaciones.bff-obe-recaudaciones;22;OPEN;Change this code to use a stronger protocol.;2min;2021-11-19T11:26:58-0300;2021-11-19T13:05:01-0300;VULNERABILITY
AX04mB_6FhMNhOYS_hYx;csharpsquid:S4423;CRITICAL;recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Parametria/ServiceRegistration.cs;recaudaciones.bff-obe-recaudaciones;22;OPEN;Change this code to use a stronger protocol.;2min;2021-11-19T11:26:58-0300;2021-11-19T13:05:01-0300;VULNERABILITY
AX04mB_6FhMNhOYS_hYy;csharpsquid:S4830;CRITICAL;recaudaciones.bff-obe-recaudaciones:Infrastructure/Bff.Obe.Recaudaciones.Repository.Parametria/ServiceRegistration.cs;recaudaciones.bff-obe-recaudaciones;44;OPEN;Enable server certificate validation on this SSL/TLS connection;5min;2021-11-19T11:26:58-0300;2021-11-19T13:05:01-0300;VULNERABILITY
