key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXzrNSLqFhMNhOYSWfD-,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2020-11996 | CVSS Score: 7.5 | Category: NVD-CWE-noinfo | A specially crafted sequence of HTTP/2 requests sent to Apache Tomcat 10.0.0-M1 to 10.0.0-M5, 9.0.0.M1 to 9.0.35 and 8.5.0 to 8.5.55 could trigger high CPU usage for several seconds. If a sufficient number of such requests were made on concurrent HTTP/2 connections, the server could become unresponsive.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD2,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: spring-core-5.2.2.RELEASE.jar | Reference: CVE-2021-22118 | CVSS Score: 7.8 | Category: CWE-269 | In Spring Framework, versions 5.2.x prior to 5.2.15 and versions 5.3.x prior to 5.3.7, a WebFlux application is vulnerable to a privilege escalation: by (re)creating the temporary storage directory, a locally authenticated malicious user can read or modify files that have been uploaded to the WebFlux application, or overwrite arbitrary files with multipart request data.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD4,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: spring-tx-5.2.2.RELEASE.jar | Reference: CVE-2020-5398 | CVSS Score: 7.5 | Category: CWE-494 | In Spring Framework, versions 5.2.x prior to 5.2.3, versions 5.1.x prior to 5.1.13, and versions 5.0.x prior to 5.0.16, an application is vulnerable to a reflected file download (RFD) attack when it sets a ""Content-Disposition"" header in the response where the filename attribute is derived from user supplied input.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD7,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: spring-tx-5.2.2.RELEASE.jar | Reference: CVE-2021-22118 | CVSS Score: 7.8 | Category: CWE-269 | In Spring Framework, versions 5.2.x prior to 5.2.15 and versions 5.3.x prior to 5.3.7, a WebFlux application is vulnerable to a privilege escalation: by (re)creating the temporary storage directory, a locally authenticated malicious user can read or modify files that have been uploaded to the WebFlux application, or overwrite arbitrary files with multipart request data.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD8,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2019-17563 | CVSS Score: 7.5 | Category: CWE-384 | When using FORM authentication with Apache Tomcat 9.0.0.M1 to 9.0.29, 8.5.0 to 8.5.49 and 7.0.0 to 7.0.98 there was a narrow window where an attacker could perform a session fixation attack. The window was considered too narrow for an exploit to be practical but, erring on the side of caution, this issue has been treated as a security vulnerability.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfD_,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: tomcat-embed-core-9.0.29.jar | Reference: CVE-2020-13934 | CVSS Score: 7.5 | Category: CWE-401,CWE-476 | An h2c direct connection to Apache Tomcat 10.0.0-M1 to 10.0.0-M6, 9.0.0.M5 to 9.0.36 and 8.5.1 to 8.5.56 did not release the HTTP/1.1 processor after the upgrade to HTTP/2. If a sufficient number of such requests were made, an OutOfMemoryException could occur leading to a denial of service.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDm,OWASP:UsingComponentWithKnownVulnerability,BLOCKER,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: dom4j-2.1.1.jar | Reference: CVE-2020-10683 | CVSS Score: 9.8 | Category: CWE-611 | dom4j before 2.0.3 and 2.1.x before 2.1.3 allows external DTDs and External Entities by default, which might enable XXE attacks. However, there is popular external documentation from OWASP showing how to enable the safe, non-default behavior in any application that uses dom4j.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDo,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,Filename: api-clientes.jar: hibernate-core-5.4.9.Final.jar | Reference: CVE-2020-25638 | CVSS Score: 7.4 | Category: CWE-89 | A flaw was found in hibernate-core in versions prior to and including 5.4.23.Final. A SQL injection in the implementation of the JPA Criteria API can permit unsanitized literals when a literal is used in the SQL comments of the query. This flaw could allow an attacker to access unauthorized information or possibly conduct further attacks. The highest threat from this vulnerability is to data confidentiality and integrity.,,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDr,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: jackson-databind-2.10.1.jar | Reference: CVE-2020-25649 | CVSS Score: 7.5 | Category: CWE-611 | A flaw was found in FasterXML Jackson Databind, where it did not have entity expansion secured properly. This flaw allows vulnerability to XML external entity (XXE) attacks. The highest threat from this vulnerability is data integrity.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDv,OWASP:UsingComponentWithKnownVulnerability,BLOCKER,personas.api-clientes,personas.api-clientes,,OPEN,Filename: api-clientes.jar: retrofit-2.4.0.jar | Reference: CVE-2018-1000844 | CVSS Score: 9.1 | Category: CWE-611 | Square Open Source Retrofit version Prior to commit 4a693c5aeeef2be6c7ecf80e7b5ec79f6ab59437 contains a XML External Entity (XXE) vulnerability in JAXB that can result in An attacker could use this to remotely read files from the file system or to perform SSRF.. This vulnerability appears to have been fixed in After commit 4a693c5aeeef2be6c7ecf80e7b5ec79f6ab59437.,,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
AXzrNSLqFhMNhOYSWfDw,OWASP:UsingComponentWithKnownVulnerability,CRITICAL,personas.api-clientes,personas.api-clientes,,OPEN,"Filename: api-clientes.jar: retrofit-2.4.0.jar | Reference: CVE-2018-1000850 | CVSS Score: 7.5 | Category: CWE-22 | Square Retrofit version versions from (including) 2.0 and 2.5.0 (excluding) contains a Directory Traversal vulnerability in RequestBuilder class, method addPathParameter that can result in By manipulating the URL an attacker could add or delete resources otherwise unavailable to her.. This attack appear to be exploitable via An attacker should have access to an encoded path parameter on POST, PUT or DELETE request.. This vulnerability appears to have been fixed in 2.5.0 and later.",,2021-11-04T10:47:57-0300,2021-11-04T10:47:57-0300,VULNERABILITY
