key,rule,severity,component,project,line,status,message,effort,creationDate,updateDate,type
AXz_wdihFhMNhOYSrNpP,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,41,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-11-08T10:29:57-0300,2021-11-08T10:29:57-0300,VULNERABILITY
AXyfUaPRFhMNhOYS6mzx,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,264,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-10-20T16:20:31-0300,2021-10-20T16:20:31-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Yf,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,65,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-29T15:50:41-0300,2021-06-29T15:50:41-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Yg,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,89,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-29T15:50:41-0300,2021-06-29T15:50:41-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Ym,csharpsquid:S4423,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,97,OPEN,Change this code to use a stronger protocol.,2min,2021-06-29T15:50:41-0300,2021-08-26T17:33:27-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Yn,csharpsquid:S4423,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,97,OPEN,Change this code to use a stronger protocol.,2min,2021-06-29T15:50:41-0300,2021-08-26T17:33:27-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Yh,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,115,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-29T15:50:41-0300,2021-06-29T15:50:41-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Yi,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,141,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-29T15:50:41-0300,2021-06-29T15:50:41-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Yj,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,171,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-29T15:50:41-0300,2021-06-29T15:50:41-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Yk,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,202,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-29T15:50:41-0300,2021-06-29T15:50:41-0300,VULNERABILITY
AXpZHCela0Lx9_s-p2Yl,csharpsquid:S4830,CRITICAL,recaudaciones.api-cobro:Spv.Cobro.Api/Services/HttpClientServiceConfigurationExtension.cs,recaudaciones.api-cobro,234,OPEN,Enable server certificate validation on this SSL/TLS connection,5min,2021-06-29T15:50:41-0300,2021-06-29T15:50:41-0300,VULNERABILITY
